,price_doc
3400,15.03252820712301
5049,15.483217378522351
23675,15.64005985001532
29837,15.983958360529074
18588,15.88237331743725
10189,15.687087632609176
27573,15.964956825700185
8153,15.763069347265112
21990,15.406876145265628
1406,15.404745763080856
2443,15.60727002719233
1303,15.201804919084164
20288,13.815510557964274
19502,16.06680235657077
23896,17.648301420455844
12776,13.9108207377686
9320,15.994231663735933
7717,15.382875693976466
8074,16.00156183470237
12633,15.573368475516649
16265,15.717618084361195
22040,14.508657738524219
29786,16.240313283682568
28488,14.648419680899378
17872,15.739467196803716
2866,15.319587954740548
9551,15.710127412632037
1061,15.555976732804778
17497,14.508657738524219
208,15.856730886823913
15189,15.87233193180581
7390,16.21255091997599
22094,15.538277155705378
7235,15.305867592909507
10271,15.990262279448435
11195,15.41315682135888
8128,15.89495209964411
2984,14.648419680899378
11488,15.520258650202699
10695,15.264404060840684
9994,15.978833583624812
25441,15.424948470398375
13085,16.681207378113868
30132,16.767813273590928
12787,15.84365880525656
1251,15.232576577750919
9624,15.319587954740548
23203,15.84365880525656
7406,15.893701317742458
3203,15.671808548329901
10825,15.244624916267092
24853,15.830413578506539
9522,15.590462908875947
14479,15.598901777521812
7751,15.955576721460545
11650,15.170339535470895
27427,15.725053062848712
20423,15.250595083253597
25749,16.614662094096754
3754,15.015153301091614
28703,16.39843470431359
1398,15.424948470398375
15251,15.78262291467019
11532,14.508657738524219
20665,13.815510557964274
27165,16.283610089435893
26107,15.34540427178188
11748,15.457415660535876
2853,13.805460222110773
29969,15.293615801665066
22956,14.891492023758738
15240,15.888682486630515
7477,16.00240529911095
26939,15.830413578506539
19285,15.732433170146335
12526,16.02378497148708
23946,15.354526006101828
9504,15.762091481999741
7493,15.47125994610851
26180,14.70023425244186
12224,16.213405830762646
10779,15.761420707019587
17399,15.483217378522351
28671,15.371901639463875
9986,15.771060947366848
6977,15.052144144529759
10910,16.671175957656224
24964,16.440946247137624
21730,15.702580206996654
29825,15.682821742361654
20501,15.58195221920804
26397,15.681139875758785
22378,13.815510557964274
19631,15.702580206996654
346,15.888682486630515
26186,16.48657154892399
16106,15.65606019136176
2864,16.489659207390805
29410,15.375409636045347
27022,15.529886696904686
2259,15.424948470398375
12858,15.240063631201256
27023,15.702580206996654
27086,15.593489172574866
15200,17.831893578716663
6474,15.898072226980354
18461,15.29711509888849
14259,13.815510557964274
8696,15.547166103122624
21510,14.914122846632385
19218,15.632060195999548
494,14.47475601443473
565,15.501909511534503
10510,14.914122846632385
8270,15.319075823623791
10696,13.997832114758229
10351,15.179368852328107
16805,16.38045991542581
25880,14.508657738524219
27249,16.100853353219346
16061,15.623799329143539
4530,13.217673557208654
22745,15.724270534531055
13350,15.255340946664472
8692,15.715180488972392
5472,15.49730820098224
6888,15.444751097694555
4099,15.028307118202004
6404,15.305867592909507
21511,13.815510557964274
23176,15.33644507180697
18122,15.65606019136176
14567,13.815510557964274
16268,13.9108207377686
