,price_doc
10219,15.083934254588486
898,13.81451005763069
9589,16.23627860663603
20976,15.833174430511544
25178,15.919644712234481
27548,15.830413578506539
20669,15.414061420961307
5352,15.497778769532578
429,13.815510557964274
29223,13.815510557964274
3186,15.590462908875947
20615,16.06680235657077
26492,15.792221594696398
7382,16.166885815127753
591,13.805460222110773
8369,15.529308485722618
15079,15.88616359361103
27139,15.547166103122624
711,15.60727002719233
358,15.955576721460545
29324,15.757669250526309
8709,15.074781446790078
12266,15.623799329143539
18148,15.687312734865866
13063,15.84365880525656
18446,15.421687158096002
27296,16.213405830762646
26070,15.598673179966811
1135,15.555976732804778
2934,16.752023471858294
24613,16.36192363674089
18011,15.89495209964411
20712,15.732433170146335
23539,16.325060876055463
18123,15.84365906841442
30317,16.064249521912025
12295,14.915372066032816
3583,16.454567887579532
19968,15.65606019136176
15856,15.615568830007025
23558,16.75479839802779
27495,15.978833583624812
26554,16.095850042011
12748,15.464169183551656
6243,15.943742263813542
24930,16.045524958123483
843,15.64005985001532
12336,14.914122846632385
16273,16.250576191631286
21824,15.327335641531374
20253,15.573368475516649
26018,15.481767271020727
5524,15.160805825549472
13765,15.60727002719233
13454,15.520258650202699
9937,15.591108124408445
26109,16.249123913364723
9900,15.325955417133404
11192,15.747031969567487
8230,15.796512026830857
12873,15.830413578506539
5781,15.27952308093946
28944,14.628581148610795
5962,15.560952403773163
4103,15.65606019136176
22977,15.761655679411412
29361,16.38045991542581
24573,16.329684705432843
22365,15.363073066680286
13032,15.747031969567487
24078,14.508657738524219
27553,17.100952846304285
3608,15.874248629210566
20132,15.590462908875947
2676,16.237344278776312
22629,16.489659207390805
11733,15.404745763080856
14536,15.92908175030324
7808,13.815510557964274
21517,15.307575875499658
2746,15.644084000315045
26933,15.424948470398375
1822,15.464169183551656
27231,15.816990558174398
4950,16.235878686614704
16951,15.35237777756354
26712,13.815510557964274
9412,14.721265987923047
28968,16.461685355348397
2770,14.914122846632385
18959,15.639067260787387
27586,15.761420707019587
4462,15.973069878908062
26879,16.874217630679652
22995,17.26549810379586
29272,16.64872390202049
28103,14.914122846632385
27274,16.204273347199372
19713,16.48273876454623
6007,15.388364358355576
19086,15.454507272639919
638,13.815510557964274
21703,15.079637285109957
4336,14.960242782245937
28543,13.815510557964274
16590,15.48566720543308
20064,15.671808548329901
4473,15.089079571732208
19585,16.123371708058663
12578,16.166885815127753
3928,16.44451755172603
10045,15.555976732804778
24689,15.392025612059886
12916,16.475770095230136
23318,15.717618084361195
23397,15.732433170146335
25099,16.888203872654394
27960,15.068273526459642
29874,16.12804598181149
10661,15.132454840949372
6514,16.012735135300492
17394,14.508657738524219
16689,15.666428005385164
26953,15.349880037149529
27300,15.985097259120781
25150,15.583324268970124
8598,15.768538174788452
17381,16.618729716778226
753,15.89495209964411
9192,15.100179640955075
13432,15.679590688771956
28619,15.64005985001532
6002,15.747031969567487
19895,13.9108207377686
19361,15.844290184841881
20387,16.396277236362035
13282,15.60727002719233
25520,15.4038582264796
28169,15.86320340132953
1474,15.955576721460545
25740,15.156629189967326
561,16.084766349309458
21574,16.503358051748965
8335,16.11809565095832
20184,15.473738634567807
21058,13.815510557964274
15756,14.508657738524219
9600,16.67771143889374
7244,15.55796773190614
5053,16.14278826354869
16539,15.501909511534503
26221,15.41246386097231
18650,16.283610089435893
16085,15.80338490611862
616,15.573368475516649
3606,15.096444403426338
564,14.508657738524219
29785,16.241741997098604
18050,16.11809565095832
17794,15.677928843555524
17159,15.65606019136176
15082,15.65606019136176
1447,15.60727002719233
9066,15.687312734865866
7476,14.508657738524219
23869,16.003247379665133
24687,15.078127671640441
18590,15.913528485217045
20866,15.085829935416237
18760,16.283610089435893
23053,15.623799329143539
25517,16.90655301132259
2531,16.452816354540726
6603,16.34043888210176
6281,14.508657738524219
24798,15.573368475516649
20720,15.299022369799523
30188,16.385444395317162
15543,15.747031969567487
25936,15.94711680174565
26299,15.353994105010868
8352,15.520258650202699
23794,15.575951343934902
12339,15.72257221029946
11172,14.508657738524219
20995,15.64005985001532
2781,15.538277155705378
21881,15.424948470398375
9738,15.674169509067417
14103,16.314351341887942
9245,13.815510557964274
16936,15.739759210238407
11969,15.80338490611862
13317,15.564245609116874
4287,14.508657738524219
29308,15.967272761223736
16715,15.363073066680286
124,16.213405830762646
19505,16.06860546683208
15855,15.978833583624812
19060,15.539998886960829
8338,15.789591583986283
13470,14.22097566607244
11221,15.687312734865866
21359,15.955576721460545
